miRNA,lncRNA
hsa-miR-4458,NEAT1
hsa-miR-449a,NEAT1
hsa-miR-495-3p,NEAT1
hsa-miR-499a-5p,NEAT1
hsa-miR-503-5p,NEAT1
hsa-miR-505-3p,NEAT1
hsa-miR-539-5p,NEAT1
hsa-miR-543,NEAT1
hsa-miR-590-3p,NEAT1
hsa-miR-708-5p,NEAT1
hsa-miR-761,NEAT1
hsa-miR-9-5p,NEAT1
hsa-miR-98-5p,NEAT1
hsa-miR-125a-3p,LINC01537
hsa-miR-138-5p,LINC01537
hsa-miR-376c-3p,RAB30-DT
hsa-miR-542-3p,RAB30-DT
hsa-let-7a-5p,PCF11-AS1
hsa-let-7b-5p,PCF11-AS1
hsa-let-7c-5p,PCF11-AS1
hsa-let-7d-5p,PCF11-AS1
hsa-let-7e-5p,PCF11-AS1
hsa-let-7f-5p,PCF11-AS1
hsa-let-7g-5p,PCF11-AS1
hsa-let-7i-5p,PCF11-AS1
hsa-miR-4458,PCF11-AS1
hsa-miR-98-5p,PCF11-AS1
hsa-let-7a-5p,ANKRD42-DT
hsa-let-7b-5p,ANKRD42-DT
hsa-let-7c-5p,ANKRD42-DT
hsa-let-7d-5p,ANKRD42-DT
hsa-let-7e-5p,ANKRD42-DT
hsa-let-7f-5p,ANKRD42-DT
hsa-let-7g-5p,ANKRD42-DT
hsa-let-7i-5p,ANKRD42-DT
hsa-miR-4458,ANKRD42-DT
hsa-miR-98-5p,ANKRD42-DT
hsa-miR-210-3p,SCARNA9
hsa-miR-216a-5p,SCARNA9
hsa-miR-362-3p,SCARNA9
hsa-miR-376a-3p,SCARNA9
hsa-miR-376b-3p,SCARNA9
hsa-miR-379-5p,SCARNA9
hsa-miR-132-3p,USP2-AS1
hsa-miR-212-3p,USP2-AS1
hsa-miR-302a-3p,USP2-AS1
hsa-miR-302b-3p,USP2-AS1
hsa-miR-302c-3p,USP2-AS1
hsa-miR-302d-3p,USP2-AS1
hsa-miR-302e,USP2-AS1
hsa-miR-372-3p,USP2-AS1
hsa-miR-373-3p,USP2-AS1
hsa-miR-520a-3p,USP2-AS1
hsa-miR-520c-3p,USP2-AS1
hsa-miR-520d-3p,USP2-AS1
hsa-miR-34a-5p,SORL1-AS1
hsa-miR-34c-5p,SORL1-AS1
hsa-miR-449a,SORL1-AS1
hsa-miR-103a-3p,ESAM-AS1
hsa-miR-107,ESAM-AS1
hsa-miR-15a-5p,ESAM-AS1
hsa-miR-15b-5p,ESAM-AS1
