lncRNA,miRNA
NUTM2B-AS1,hsa-miR-421
NUTM2B-AS1,hsa-miR-424-5p
NUTM2B-AS1,hsa-miR-497-5p
NUTM2B-AS1,hsa-miR-544a
NUTM2B-AS1,hsa-miR-761
NUTM2A-AS1,hsa-let-7a-5p
NUTM2A-AS1,hsa-let-7b-5p
NUTM2A-AS1,hsa-let-7c-5p
NUTM2A-AS1,hsa-let-7d-5p
NUTM2A-AS1,hsa-let-7e-5p
NUTM2A-AS1,hsa-let-7f-5p
NUTM2A-AS1,hsa-let-7g-5p
NUTM2A-AS1,hsa-let-7i-5p
NUTM2A-AS1,hsa-miR-103a-3p
NUTM2A-AS1,hsa-miR-107
NUTM2A-AS1,hsa-miR-129-5p
NUTM2A-AS1,hsa-miR-130a-3p
NUTM2A-AS1,hsa-miR-130b-3p
NUTM2A-AS1,hsa-miR-138-5p
NUTM2A-AS1,hsa-miR-148a-3p
NUTM2A-AS1,hsa-miR-148b-3p
NUTM2A-AS1,hsa-miR-152-3p
NUTM2A-AS1,hsa-miR-15a-5p
NUTM2A-AS1,hsa-miR-15b-5p
NUTM2A-AS1,hsa-miR-16-5p
NUTM2A-AS1,hsa-miR-195-5p
NUTM2A-AS1,hsa-miR-206
NUTM2A-AS1,hsa-miR-214-3p
NUTM2A-AS1,hsa-miR-301a-3p
NUTM2A-AS1,hsa-miR-34a-5p
NUTM2A-AS1,hsa-miR-34c-5p
NUTM2A-AS1,hsa-miR-3619-5p
NUTM2A-AS1,hsa-miR-3666
NUTM2A-AS1,hsa-miR-376a-3p
NUTM2A-AS1,hsa-miR-376b-3p
NUTM2A-AS1,hsa-miR-424-5p
NUTM2A-AS1,hsa-miR-4295
NUTM2A-AS1,hsa-miR-4458
NUTM2A-AS1,hsa-miR-449a
NUTM2A-AS1,hsa-miR-449b-5p
NUTM2A-AS1,hsa-miR-4500
NUTM2A-AS1,hsa-miR-454-3p
NUTM2A-AS1,hsa-miR-488-3p
NUTM2A-AS1,hsa-miR-497-5p
NUTM2A-AS1,hsa-miR-539-5p
NUTM2A-AS1,hsa-miR-613
NUTM2A-AS1,hsa-miR-761
NUTM2A-AS1,hsa-miR-98-5p
LINC00863,hsa-miR-218-5p
ENTPD1-AS1,hsa-miR-182-5p
ENTPD1-AS1,hsa-miR-27a-3p
ENTPD1-AS1,hsa-miR-27b-3p
ENTPD1-AS1,hsa-miR-365a-3p
OLMALINC,hsa-let-7a-5p
OLMALINC,hsa-let-7b-5p
OLMALINC,hsa-let-7c-5p
OLMALINC,hsa-let-7d-5p
OLMALINC,hsa-let-7e-5p
OLMALINC,hsa-let-7f-5p
OLMALINC,hsa-let-7g-5p
OLMALINC,hsa-let-7i-5p
OLMALINC,hsa-miR-129-5p
OLMALINC,hsa-miR-144-3p
OLMALINC,hsa-miR-4458
OLMALINC,hsa-miR-4500
OLMALINC,hsa-miR-98-5p
LBX1-AS1,hsa-miR-182-5p
LBX1-AS1,hsa-miR-503-5p
RPARP-AS1,hsa-miR-129-5p
RPARP-AS1,hsa-miR-135a-5p
RPARP-AS1,hsa-miR-135b-5p
RPARP-AS1,hsa-miR-218-5p
RPARP-AS1,hsa-miR-324-5p
RPARP-AS1,hsa-miR-338-3p
RPARP-AS1,hsa-miR-410-3p
RPARP-AS1,hsa-miR-590-3p
EMX2OS,hsa-miR-653-5p
CASC2,hsa-miR-18a-5p
CASC2,hsa-miR-18b-5p
CASC2,hsa-miR-4735-3p
GRK5-IT1,hsa-miR-197-3p
EDRF1-AS1,hsa-miR-15a-5p
EDRF1-AS1,hsa-miR-15b-5p
EDRF1-AS1,hsa-miR-16-5p
EDRF1-AS1,hsa-miR-195-5p
EDRF1-AS1,hsa-miR-30a-5p
EDRF1-AS1,hsa-miR-30b-5p
EDRF1-AS1,hsa-miR-30c-5p
EDRF1-AS1,hsa-miR-30d-5p
EDRF1-AS1,hsa-miR-30e-5p
