lncRNA,miRNA
H19,hsa-miR-152-3p
H19,hsa-miR-17-5p
H19,hsa-miR-18a-5p
H19,hsa-miR-18b-5p
H19,hsa-miR-193a-3p
H19,hsa-miR-193b-3p
H19,hsa-miR-194-5p
H19,hsa-miR-196a-5p
H19,hsa-miR-196b-5p
H19,hsa-miR-19a-3p
H19,hsa-miR-19b-3p
H19,hsa-miR-20a-5p
H19,hsa-miR-20b-5p
H19,hsa-miR-216b-5p
H19,hsa-miR-29a-3p
H19,hsa-miR-29b-3p
H19,hsa-miR-29c-3p
H19,hsa-miR-301a-3p
H19,hsa-miR-339-5p
H19,hsa-miR-3666
H19,hsa-miR-370-3p
H19,hsa-miR-4295
H19,hsa-miR-454-3p
H19,hsa-miR-4735-3p
H19,hsa-miR-491-5p
H19,hsa-miR-519d-3p
H19,hsa-miR-599
H19,hsa-miR-93-5p
HAGLR,hsa-miR-106a-5p
HAGLR,hsa-miR-106b-5p
HAGLR,hsa-miR-125a-3p
HAGLR,hsa-miR-130a-3p
HAGLR,hsa-miR-130b-3p
HAGLR,hsa-miR-17-5p
HAGLR,hsa-miR-182-5p
HAGLR,hsa-miR-19a-3p
HAGLR,hsa-miR-19b-3p
HAGLR,hsa-miR-20a-5p
HAGLR,hsa-miR-20b-5p
HAGLR,hsa-miR-301a-3p
HAGLR,hsa-miR-326
HAGLR,hsa-miR-330-5p
HAGLR,hsa-miR-3666
HAGLR,hsa-miR-421
HAGLR,hsa-miR-4295
HAGLR,hsa-miR-454-3p
HAGLR,hsa-miR-519d-3p
HAGLR,hsa-miR-93-5p
HCP5,hsa-miR-106a-5p
HCP5,hsa-miR-106b-5p
HCP5,hsa-miR-128-3p
HCP5,hsa-miR-139-5p
HCP5,hsa-miR-140-5p
HCP5,hsa-miR-144-3p
HCP5,hsa-miR-17-5p
HCP5,hsa-miR-186-5p
HCP5,hsa-miR-20a-5p
HCP5,hsa-miR-20b-5p
HCP5,hsa-miR-214-3p
HCP5,hsa-miR-216a-5p
HCP5,hsa-miR-22-3p
HCP5,hsa-miR-27a-3p
HCP5,hsa-miR-27b-3p
HCP5,hsa-miR-299-3p
HCP5,hsa-miR-29a-3p
HCP5,hsa-miR-29b-3p
HCP5,hsa-miR-29c-3p
HCP5,hsa-miR-328-3p
HCP5,hsa-miR-3619-5p
HCP5,hsa-miR-519d-3p
HCP5,hsa-miR-653-5p
HCP5,hsa-miR-761
HCP5,hsa-miR-93-5p
HOTAIR,hsa-miR-106a-5p
